City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ilulissat,69.2167,-51.1,8.62,52,20,14.97,GL,1733522917
83,tbeng meanchey,13.8167,104.9667,72.09,91,98,2.91,KH,1733522918
84,guane,22.2025,-84.0875,78.78,59,11,4.76,CU,1733522919
85,flin flon,54.7682,-101.865,11.32,94,100,9.69,CA,1733522921
86,laiya,13.675,121.3903,77.56,88,78,7.56,PH,1733522922
87,gobabis,-22.45,18.9667,78.84,16,0,13.31,NA,1733522923
88,bandar lampung,-5.4254,105.258,73.92,96,100,2.21,ID,1733522924
89,nar'yan-mar,67.6713,53.087,20.43,95,100,12.5,RU,1733522925
90,antofagasta,-23.65,-70.4,63.68,81,43,8.12,CL,1733522927
91,constitucion,-35.3333,-72.4167,61.27,63,0,19.15,CL,1733522928
92,afaahiti,-17.75,-149.2833,78.78,76,98,19.69,PF,1733522929
93,malango,-2.9627,119.9001,67.21,98,100,1.28,ID,1733522930
94,tolanaro,-25.0319,46.9987,74.68,90,78,6.85,MG,1733522932
95,thompson,55.7435,-97.8558,5.18,92,100,5.95,CA,1733522933
96,tongchuanshi,35.0806,109.0897,32.61,45,78,4.9,CN,1733522934
97,naifaru,5.4444,73.3657,80.01,72,85,4.07,MV,1733522935
98,kharan,28.5833,65.4167,52.23,26,0,11.41,PK,1733522936
99,irituia,-1.7711,-47.4381,80.33,67,100,3.8,BR,1733522938
100,taltal,-25.4,-70.4833,66.61,67,29,7.11,CL,1733522939
101,new norfolk,-42.7826,147.0587,58.91,99,100,0.85,AU,1733522940
102,kharkhorin,47.1975,102.8238,13.06,81,3,6.08,MN,1733522941
103,tokonou,9.65,-9.7833,68.72,23,99,3.36,GN,1733522943
104,vilyuchinsk,52.9306,158.4028,10.67,85,12,8.72,RU,1733522944
105,enewetak,11.3474,162.3373,82.27,84,33,26.66,MH,1733522945
106,lihue,21.9789,-159.3672,78.39,69,100,18.41,US,1733522946
107,susuman,62.7833,148.1667,-13.41,100,99,1.25,RU,1733522947
108,mirny,62.5353,113.9611,12.79,88,100,13.73,RU,1733522949
109,gilmer,32.7287,-94.9424,48.38,29,0,3.44,US,1733522950
110,hasaki,35.7333,140.8333,50.5,57,28,20.42,JP,1733522951
111,naze,28.3667,129.4833,61.5,78,100,6.4,JP,1733522952
112,arraial do cabo,-22.9661,-42.0278,77.81,78,22,26.91,BR,1733522954
113,pacific grove,36.6177,-121.9166,70.65,68,1,4.0,US,1733522955
114,alexandria,31.2156,29.9553,65.28,64,100,0.87,EG,1733522956
115,castillos,-34.1667,-53.8333,67.21,85,0,5.86,UY,1733522957
116,puerto ayora,-0.7393,-90.3518,74.55,91,76,7.0,EC,1733522958
117,vuosaari,60.2083,25.1436,33.13,87,75,5.75,FI,1733522960
118,thohoyandou,-22.9456,30.485,78.93,42,24,2.84,ZA,1733522961
119,puerto baquerizo moreno,-0.9,-89.6,76.19,78,75,14.97,EC,1733522962
120,smithers,54.7804,-127.1743,38.05,100,100,3.62,CA,1733522963
121,kemijarvi,66.7131,27.4306,28.72,94,100,11.72,FI,1733522965
122,coahuayana de hidalgo,18.7,-103.6583,85.46,60,9,5.39,MX,1733522966
123,geraldton,-28.7667,114.6,59.41,94,0,5.75,AU,1733522967
124,winnemucca,40.973,-117.7357,50.05,40,0,0.0,US,1733522934
125,minas de marcona,-15.2119,-75.1103,64.45,70,66,17.34,PE,1733522971
126,lockwood,45.8191,-108.4149,57.42,30,20,11.5,US,1733522756
127,urangan,-25.3,152.9,77.0,63,19,3.2,AU,1733522973
128,shiqiao,22.9374,113.3606,65.05,62,16,8.5,CN,1733522974
129,belomorsk,64.5232,34.7668,22.64,92,47,8.52,RU,1733522976
130,port mathurin,-19.6833,63.4167,75.92,85,100,22.24,MU,1733522977
131,velyka lepetykha,47.1757,33.9436,38.26,90,100,10.85,UA,1733522978
132,ebon,4.582,168.6964,82.47,82,100,23.44,MH,1733522979
133,arcachon,44.5875,-1.0519,59.05,94,100,10.36,FR,1733522981
134,bikenibeu village,1.3673,173.1241,85.96,79,40,14.97,KI,1733522982
135,sechura,-5.5569,-80.8222,74.25,64,52,15.59,PE,1733522983
136,tiksi,71.6872,128.8694,-6.83,98,92,7.02,RU,1733522984
137,stawell,-37.05,142.7667,72.66,71,40,8.93,AU,1733522986
138,lewiston orchards,46.3804,-116.9754,35.51,80,100,0.0,US,1733522987
